file_name,.pred_fruit,.pred_flower,.logit_fruit,.logit_flower,.class_flower,.class_fruit,.equivocal_flower,.equivocal_fruit
115745756.jpeg,0.00864410400390625,0.86083984375,-4.7421875,1.82421875,Detected,Not Detected,Unequivocal,Unequivocal
115807917.jpg,0.017913818359375,0.80859375,-4.00390625,1.439453125,Not Detected,Not Detected,Equivocal,Unequivocal
115826599.jpeg,0.2042236328125,0.978515625,-1.3603515625,3.8203125,Detected,Not Detected,Unequivocal,Unequivocal
115913282.jpg,0.041473388671875,0.9990234375,-3.140625,6.9140625,Detected,Not Detected,Unequivocal,Unequivocal
115947532.jpg,0.317138671875,0.03265380859375,-0.76708984375,-3.388671875,Not Detected,Not Detected,Unequivocal,Equivocal
116138970.jpg,0.55859375,0.2413330078125,0.2362060546875,-1.1455078125,Not Detected,Detected,Unequivocal,Equivocal
116144301.jpg,0.68701171875,0.0574951171875,0.787109375,-2.796875,Not Detected,Detected,Unequivocal,Equivocal
116177602.jpg,0.1563720703125,0.3212890625,-1.685546875,-0.74755859375,Not Detected,Not Detected,Equivocal,Unequivocal
11629703.jpeg,0.408935546875,0.30859375,-0.3681640625,-0.806640625,Not Detected,Not Detected,Equivocal,Equivocal
116359530.jpg,0.8828125,0.0325927734375,2.021484375,-3.390625,Not Detected,Detected,Unequivocal,Unequivocal
116456893.jpeg,0.50634765625,0.31689453125,0.0262603759765625,-0.767578125,Not Detected,Not Detected,Equivocal,Equivocal
116465123.jpg,0.00494384765625,0.99951171875,-5.3046875,7.66796875,Detected,Not Detected,Unequivocal,Unequivocal
116493189.jpeg,0.34521484375,0.44921875,-0.64013671875,-0.2039794921875,Not Detected,Not Detected,Equivocal,Equivocal
116594429.jpg,0.004215240478515625,0.99560546875,-5.46484375,5.40234375,Detected,Not Detected,Unequivocal,Unequivocal
116607005.jpg,0.003749847412109375,0.998046875,-5.58203125,6.25,Detected,Not Detected,Unequivocal,Unequivocal
116641570.jpg,0.08587646484375,0.07666015625,-2.365234375,-2.48828125,Not Detected,Not Detected,Unequivocal,Unequivocal
116782841.jpg,0.0517578125,0.40771484375,-2.908203125,-0.373291015625,Not Detected,Not Detected,Equivocal,Unequivocal
117229138.jpg,0.0222015380859375,0.98681640625,-3.78515625,4.3125,Detected,Not Detected,Unequivocal,Unequivocal
117229142.jpg,0.0200653076171875,0.9951171875,-3.888671875,5.34375,Detected,Not Detected,Unequivocal,Unequivocal
117229143.jpg,0.0311431884765625,0.99560546875,-3.4375,5.4296875,Detected,Not Detected,Unequivocal,Unequivocal
117229146.jpg,0.118408203125,0.654296875,-2.0078125,0.63818359375,Not Detected,Not Detected,Equivocal,Unequivocal
117229150.jpg,0.0863037109375,0.98828125,-2.359375,4.4375,Detected,Not Detected,Unequivocal,Unequivocal
117229151.jpg,0.017578125,0.25341796875,-4.0234375,-1.080078125,Not Detected,Not Detected,Unequivocal,Unequivocal
117366850.jpg,0.13134765625,0.033905029296875,-1.888671875,-3.349609375,Not Detected,Not Detected,Unequivocal,Unequivocal
117464803.jpg,0.00930023193359375,0.99658203125,-4.66796875,5.70703125,Detected,Not Detected,Unequivocal,Unequivocal
117467139.jpeg,0.00473785400390625,0.9990234375,-5.34765625,6.7890625,Detected,Not Detected,Unequivocal,Unequivocal
117667850.jpg,0.0063629150390625,0.07861328125,-5.05078125,-2.4609375,Not Detected,Not Detected,Unequivocal,Unequivocal
117668916.jpg,0.49755859375,0.01483917236328125,-0.00978851318359375,-4.1953125,Not Detected,Not Detected,Unequivocal,Equivocal
117712086.jpeg,0.5927734375,0.2083740234375,0.376220703125,-1.3349609375,Not Detected,Detected,Unequivocal,Equivocal
117712114.jpeg,0.0141754150390625,0.58984375,-4.2421875,0.363037109375,Not Detected,Not Detected,Equivocal,Unequivocal
117790408.jpeg,0.040679931640625,0.60107421875,-3.16015625,0.4091796875,Not Detected,Not Detected,Equivocal,Unequivocal
117954024.jpeg,0.2451171875,0.43798828125,-1.125,-0.2491455078125,Not Detected,Not Detected,Equivocal,Equivocal
118907049.jpg,0.0043487548828125,0.256103515625,-5.43359375,-1.06640625,Not Detected,Not Detected,Unequivocal,Unequivocal
119075069.jpg,0.51953125,0.194580078125,0.078369140625,-1.4208984375,Not Detected,Not Detected,Unequivocal,Equivocal
119327052.jpg,0.0472412109375,0.06695556640625,-3.00390625,-2.634765625,Not Detected,Not Detected,Unequivocal,Unequivocal
119327325.jpg,0.2117919921875,0.71435546875,-1.314453125,0.91650390625,Not Detected,Not Detected,Equivocal,Unequivocal
119419730.jpg,0.0031719207763671875,0.99853515625,-5.75,6.6171875,Detected,Not Detected,Unequivocal,Unequivocal
119419734.jpg,0.008575439453125,0.951171875,-4.75,2.974609375,Detected,Not Detected,Unequivocal,Unequivocal
119495660.jpeg,0.0164642333984375,0.9619140625,-4.08984375,3.228515625,Detected,Not Detected,Unequivocal,Unequivocal
119542886.jpeg,0.06573486328125,0.6123046875,-2.654296875,0.4560546875,Not Detected,Not Detected,Equivocal,Unequivocal
119787571.jpeg,0.1998291015625,0.546875,-1.3876953125,0.1888427734375,Not Detected,Not Detected,Equivocal,Unequivocal
120206075.jpeg,0.04931640625,0.16845703125,-2.958984375,-1.5966796875,Not Detected,Not Detected,Unequivocal,Unequivocal
120267251.jpg,0.415771484375,0.1614990234375,-0.33984375,-1.6474609375,Not Detected,Not Detected,Unequivocal,Equivocal
12052908.jpg,0.0119171142578125,0.9951171875,-4.41796875,5.3359375,Detected,Not Detected,Unequivocal,Unequivocal
120607036.jpeg,0.266845703125,0.44091796875,-1.0107421875,-0.2379150390625,Not Detected,Not Detected,Equivocal,Equivocal
120850537.jpeg,0.0169219970703125,0.80224609375,-4.0625,1.3994140625,Not Detected,Not Detected,Equivocal,Unequivocal
121471739.jpg,0.020843505859375,0.99365234375,-3.849609375,5.0703125,Detected,Not Detected,Unequivocal,Unequivocal
121484421.jpg,0.640625,0.1131591796875,0.57861328125,-2.05859375,Not Detected,Detected,Unequivocal,Equivocal
121617652.jpg,0.005535125732421875,0.9794921875,-5.19140625,3.865234375,Detected,Not Detected,Unequivocal,Unequivocal
121619836.jpg,0.3466796875,0.57763671875,-0.63330078125,0.31298828125,Not Detected,Not Detected,Equivocal,Equivocal
121633124.jpeg,0.01049041748046875,0.00595855712890625,-4.546875,-5.1171875,Not Detected,Not Detected,Unequivocal,Unequivocal
121673407.jpg,0.0201416015625,0.83447265625,-3.884765625,1.6171875,Not Detected,Not Detected,Equivocal,Unequivocal
122015593.jpg,0.0185089111328125,0.99853515625,-3.970703125,6.5625,Detected,Not Detected,Unequivocal,Unequivocal
122939584.jpeg,0.185791015625,0.311279296875,-1.4775390625,-0.7939453125,Not Detected,Not Detected,Equivocal,Unequivocal
123140868.jpeg,0.1104736328125,0.98583984375,-2.0859375,4.234375,Detected,Not Detected,Unequivocal,Unequivocal
123143424.jpeg,0.00937652587890625,0.998046875,-4.66015625,6.18359375,Detected,Not Detected,Unequivocal,Unequivocal
123143635.jpeg,0.10089111328125,0.1153564453125,-2.1875,-2.037109375,Not Detected,Not Detected,Unequivocal,Unequivocal
123152011.jpeg,0.95751953125,0.0030879974365234375,3.11328125,-5.77734375,Not Detected,Detected,Unequivocal,Unequivocal
12323.jpg,0.07275390625,0.98779296875,-2.544921875,4.40234375,Detected,Not Detected,Unequivocal,Unequivocal
12323075.jpg,0.0177154541015625,0.98974609375,-4.015625,4.5546875,Detected,Not Detected,Unequivocal,Unequivocal
12324.jpg,0.0083770751953125,0.953125,-4.7734375,3.017578125,Detected,Not Detected,Unequivocal,Unequivocal
12339039.jpeg,0.77392578125,0.173095703125,1.2294921875,-1.5634765625,Not Detected,Detected,Unequivocal,Unequivocal
123470675.jpg,0.045257568359375,0.023101806640625,-3.048828125,-3.744140625,Not Detected,Not Detected,Unequivocal,Unequivocal
123568150.jpg,0.7314453125,0.039337158203125,1.001953125,-3.1953125,Not Detected,Detected,Unequivocal,Equivocal
123698801.jpeg,0.062225341796875,0.331298828125,-2.712890625,-0.70263671875,Not Detected,Not Detected,Equivocal,Unequivocal
123855961.jpeg,0.478271484375,0.57373046875,-0.08685302734375,0.29736328125,Not Detected,Not Detected,Equivocal,Equivocal
123887014.jpg,0.259765625,0.0994873046875,-1.046875,-2.203125,Not Detected,Not Detected,Unequivocal,Equivocal
123914447.jpeg,0.921875,0.026458740234375,2.46484375,-3.60546875,Not Detected,Detected,Unequivocal,Unequivocal
124403343.jpg,0.015777587890625,0.85400390625,-4.1328125,1.7666015625,Detected,Not Detected,Unequivocal,Unequivocal
124476934.jpg,0.00572967529296875,0.998046875,-5.15625,6.1953125,Detected,Not Detected,Unequivocal,Unequivocal
124476935.jpg,0.1292724609375,0.10595703125,-1.9072265625,-2.1328125,Not Detected,Not Detected,Unequivocal,Unequivocal
124476938.jpg,0.309814453125,0.38037109375,-0.80126953125,-0.488037109375,Not Detected,Not Detected,Equivocal,Equivocal
124476943.jpg,0.00555419921875,0.99951171875,-5.1875,7.3046875,Detected,Not Detected,Unequivocal,Unequivocal
124496268.jpg,0.0889892578125,0.7197265625,-2.326171875,0.943359375,Not Detected,Not Detected,Equivocal,Unequivocal
124496291.jpg,0.082275390625,0.9638671875,-2.412109375,3.287109375,Detected,Not Detected,Unequivocal,Unequivocal
124828149.jpeg,0.36279296875,0.3818359375,-0.56298828125,-0.48193359375,Not Detected,Not Detected,Equivocal,Equivocal
125384223.jpeg,0.2467041015625,0.62060546875,-1.1162109375,0.491943359375,Not Detected,Not Detected,Equivocal,Equivocal
125486164.jpg,0.63037109375,0.38232421875,0.53466796875,-0.47998046875,Not Detected,Detected,Equivocal,Equivocal
125530113.jpeg,0.81787109375,0.0782470703125,1.5029296875,-2.466796875,Not Detected,Detected,Unequivocal,Unequivocal
125838762.jpg,0.185546875,0.2298583984375,-1.4794921875,-1.208984375,Not Detected,Not Detected,Unequivocal,Unequivocal
126106153.jpg,0.1478271484375,0.625,-1.751953125,0.5107421875,Not Detected,Not Detected,Equivocal,Unequivocal
126189866.jpg,0.267578125,0.09136962890625,-1.0068359375,-2.296875,Not Detected,Not Detected,Unequivocal,Equivocal
126217923.jpg,0.96728515625,0.01142120361328125,3.390625,-4.4609375,Not Detected,Detected,Unequivocal,Unequivocal
126230821.jpeg,0.324951171875,0.410888671875,-0.73095703125,-0.3603515625,Not Detected,Not Detected,Equivocal,Equivocal
126292297.jpg,0.69873046875,0.1802978515625,0.8408203125,-1.5146484375,Not Detected,Detected,Unequivocal,Equivocal
126349969.jpg,0.0050201416015625,0.42724609375,-5.2890625,-0.29345703125,Not Detected,Not Detected,Equivocal,Unequivocal
126485545.jpeg,0.05072021484375,0.892578125,-2.9296875,2.115234375,Detected,Not Detected,Unequivocal,Unequivocal
